Group,Label,Title,xtitle,"LDL cholesterol, mg/dL",N,Percent,x,T,P1,P,S,LDL
Age stratified--very-high risk population,55-64,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",<70,0.719,0.719 (20.0%),2,3.6,20.00%,20,%,<70
Age stratified--very-high risk population,55-64,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",70 - <100,1.346,1.346 (37.5%),2,3.6,37.50%,37.5,%,70 - <100
Age stratified--very-high risk population,55-64,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",100 - <130,0.963,0.963 (26.8%),2,3.6,26.80%,26.8,%,100 - <130
Age stratified--very-high risk population,55-64,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",<span>&#8805;</span>130,0.559,0.559 (15.6%),2,3.6,15.60%,15.6,%,<span>&#8805;</span>130
Age stratified--very-high risk population,65-74,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",<70,1.764,1.764 (32.0%),3,5.5,32.00%,32,%,<70
Age stratified--very-high risk population,65-74,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",70 - <100,2.032,2.032 (36.8%),3,5.5,36.80%,36.8,%,70 - <100
Age stratified--very-high risk population,65-74,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",100 - <130,1.049,1.049 (19.0%),3,5.5,19.00%,19,%,100 - <130
Age stratified--very-high risk population,65-74,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",<span>&#8805;</span>130,0.67,0.670 (12.1%),3,5.5,12.10%,12.1,%,<span>&#8805;</span>130
Age stratified--very-high risk population,<span>&#8805;</span>75,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",<70,1.393,1.393 (31.5%),4,4.4,31.50%,31.5,%,<70
Age stratified--very-high risk population,<span>&#8805;</span>75,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",70 - <100,1.66,1.660 (37.6%),4,4.4,37.60%,37.6,%,70 - <100
Age stratified--very-high risk population,<span>&#8805;</span>75,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",100 - <130,0.656,0.656 (14.8%),4,4.4,14.80%,14.8,%,100 - <130
Age stratified--very-high risk population,<span>&#8805;</span>75,LDL-cholesterol distribution-- Very-high risk population,"Age group, years",<span>&#8805;</span>130,0.708,0.708 (16.0%),4,4.4,16.00%,16,%,<span>&#8805;</span>130
Age stratified--recommended add-on therapy,20-54,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",<70,0,0 (0.0%),1,1.6,0.00%,0,%,<70
Age stratified--recommended add-on therapy,20-54,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",70 - <100,0.383,0.383 (23.8%),1,1.6,23.80%,23.8,%,70 - <100
Age stratified--recommended add-on therapy,20-54,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",100 - <130,0.796,0.796 (49.4%),1,1.6,49.40%,49.4,%,100 - <130
Age stratified--recommended add-on therapy,20-54,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",<span>&#8805;</span>130,0.432,0.432 (26.8%),1,1.6,26.80%,26.8,%,<span>&#8805;</span>130
Age stratified--recommended add-on therapy,55-64,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",<70,0.14,0.140 (4.6%),2,3,4.60%,4.6,%,<70
Age stratified--recommended add-on therapy,55-64,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",70 - <100,1.346,1.346 (44.8%),2,3,44.80%,44.8,%,70 - <100
Age stratified--recommended add-on therapy,55-64,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",100 - <130,0.963,0.963 (32.0%),2,3,32.00%,32,%,100 - <130
Age stratified--recommended add-on therapy,55-64,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",<span>&#8805;</span>130,0.559,0.559 (18.6%),2,3,18.60%,18.6,%,<span>&#8805;</span>130
Age stratified--recommended add-on therapy,65-74,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",<70,0.032,0.032 (0.8%),3,3.9,0.80%,0.8,%,<70
Age stratified--recommended add-on therapy,65-74,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",70 - <100,2.032,2.032 (53.7%),3,3.9,53.70%,53.7,%,70 - <100
Age stratified--recommended add-on therapy,65-74,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",100 - <130,1.049,1.049 (27.7%),3,3.9,27.70%,27.7,%,100 - <130
Age stratified--recommended add-on therapy,65-74,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",<span>&#8805;</span>130,0.67,0.670 (17.7%),3,3.9,17.70%,17.7,%,<span>&#8805;</span>130
Age stratified--recommended add-on therapy,<span>&#8805;</span>75,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",<70,0.066,0.066 (2.1%),4,3.1,2.10%,2.1,%,<70
Age stratified--recommended add-on therapy,<span>&#8805;</span>75,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",70 - <100,1.66,1.660 (53.7%),4,3.1,53.70%,53.7,%,70 - <100
Age stratified--recommended add-on therapy,<span>&#8805;</span>75,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",100 - <130,0.656,0.656 (21.2%),4,3.1,21.20%,21.2,%,100 - <130
Age stratified--recommended add-on therapy,<span>&#8805;</span>75,LDL-cholesterol distribution--recommended add-on therapy,"Age group, years",<span>&#8805;</span>130,0.708,0.708 (22.9%),4,3.1,22.90%,22.9,%,<span>&#8805;</span>130
